original,normalized_name,database,id,score
insulin,insulin,HGNC,6081,1.0
leptin,leptin,MESH,D020738,1.0
ampk,ampk,FPLX,AMPK,0.984539270253556
glp - 1,glp 1,CHEBI,CHEBI:80270,0.5400948258091115
fto,fto,UP,Q9C0B1,0.7066584209441352
hba1c,hba1c,EFO,0004541,0.5023706452277881
g,g,CHEBI,CHEBI:50324,0.549165120593692
h,h,CHEBI,CHEBI:30220,0.5555555555555556
glp - 1 ras,,,,
ucp1,ucp1,HGNC,12517,0.7245928674500104
sirt1,sirt1,HGNC,14929,0.9468150896722326
pparγ,pparγ,UP,P37231,0.9936095650381365
il - 6,,,,
adiponectin,adiponectin,MESH,D052242,1.0
tnf - α,,,,
glucagon - like peptide - 1 receptor,glucagon like peptide 1 receptor,HGNC,4324,0.7623170480313337
mtor,mtor,UP,P42345,0.9659863945578232
s,s,CHEBI,CHEBI:36368,0.5555555555555556
glp - 1 receptor,glp 1 receptor,HGNC,4324,0.5400948258091115
ldl - c,,,,
