title,abstract,pubYear,targets,normalized_text
Obesity promotes ARDS by modulating ceramide transfer protein-ceramide pathway and exacerbating oxidative stress/apoptosis in alveolar macrophages,"Obesity is an independent risk factor for acute respiratory distress syndrome (ARDS). However, the precise pathway through which obesity amplifies the severity of ARDS remains elusive. Our study embarked on a comprehensive analysis focusing on alterations in the proteomic and metabolomic landscapes of lung tissue extracted from high-fat diet (HFD) mice afflicted with lipopolysaccharide-induced lung injury. This approach was designed to shed light on the molecular mechanisms underlying the exacerbated pulmonary response in obesity-related ARDS. Bioinformatics analysis revealed that dysregulation of sphingolipid metabolism may be involved in the exacerbation of lung injury associated with obesity. Specifically, pulmonary ceramide transfer protein (CERT) expressions were reduced in patients with obesity and HFD mice, while Cer levels were increased. Similarly, co-culture with 3T3-L1 cells reduced CERT expression and increased ceramide (Cer) levels in MH-S cells. Furthermore, overexpression of CERT in vivo and in vitro enhanced Cer transport, leading to reduced Cer levels and, subsequently, a decrease in reactive oxygen species (ROS) production and inflammatory damage in mouse lung tissues and alveolar macrophages. Conversely, CERT knockdown yielded the opposite effect. Moreover, exogenous ceramide supplementation reversed these protective effects conferred by CERT overexpression. In vivo and in vitro studies indicated that obesity-induced downregulation of CERT reduced Cer transport, increased Cer levels, and aggravated ARDS through elevated ROS production and apoptosis. Taken together, these results highlight CERT may represent a promising therapeutic target for managing ARDS in individuals with obesity.",2025,"['pulmonary ceramide transfer protein', 'cert', 'cer', 'cert', 'cert', 'cer', 'cer', 'cert', 'cert', 'cert', 'cer', 'cer', 'cert']","['cert', 'cer']"
Adipose Tissue as a Target for Precision Medicine Approaches in Childhood Obesity.,"Following the trends of the adult obesity epidemic, and worsened by school disruptions during the coronavirus disease 2019 pandemic, childhood obesity prevalence has reached unprecedented levels. The health implications for this generation are especially concerning, as childhood-onset obesity has more severe health consequences than weight gain that begins in adulthood, including increased risk of type 2 diabetes and diabetes-related complications. The complexity of obesity treatment has been challenging, including remarkable heterogeneity in obesity phenotypes and treatment responses among both adults and children. Many in the field have therefore highlighted a need for precision medicine approaches in obesity treatment across age-groups. This includes a need for precision risk stratification to better target treatment intensity, which will require a better understanding of the earliest stages of metabolic syndrome pathophysiology. The health, function, and distribution of adipose tissue have been established as important determinants of metabolic health in both childhood- and adult-onset obesity, making adipose tissue a promising target for understanding phenotypic heterogeneity in obesity. Here, we provide a brief overview of the current limited understanding of adipose tissue biology during childhood development and discuss opportunities for further research into adipose-centric precision medicine approaches in childhood-onset obesity and type 2 diabetes.<h4>Article highlights</h4>Treatment options for childhood obesity are expanding, but precision medicine approaches, including strategies for precision risk assessment, are needed to appropriately target treatment intensity. Parameters of adipose tissue dysfunction are better predictors of metabolic syndrome than body size, and therefore adipose tissue represents a prime candidate for research approaches in understanding the pathophysiology of insulin resistance and in identifying biomarkers of future prognosis. Expanded developmental research on pediatric adipose tissue in both mice and humans is needed to understand the pathophysiology of childhood-onset obesity and to develop precision treatment approaches.",2025,['insulin'],['insulin']
A blueprint of synergistic effect in Crataegus pinnatifida and obesity-related gut microbiota against obesity via systems biology concept.,"<h4>Background</h4>Current obesity treatments include behavioral interventions, pharmacotherapy and surgery. Recently, the combination of 'medicinal food' products such as the plant Crataegus pinnatifida and its interaction with the gut microbiota has shown promise as an alternative therapeutic strategy to treat obesity.<h4>Methods</h4>We obtained secondary metabolites (SMs) of obesity-related gut microbiota and Crataegus pinnatifida from gutMGene database and NAPSS database. bioinformatics analysis was used to elucidate key target and signaling pathways, whereas molecular docking (MD), molecular dynamics simulation and quantum chemical calculations identified crucial SMs involved in these pathways. The toxicity and physicochemical properties of these SMs were also assessed.<h4>Results</h4>Phosphoinositide-3-kinase regulatory subunit 1 (PIK3R1), a key mediator in the phosphoinositide 3-kinase (PI3K)/ Protein Kinase B (Akt) pathway that is crucial for regulating insulin signaling and adipogenesis, emerged as the central hub within the PPI network. Strong binders to PIK3R1 were predicted to be quercetin, kaempferol and naringenin chalcone, suggesting their potential as therapeutic agents to treat obesity.<h4>Conclusion</h4>The synergistic combination of Crataegus pinnatifida and the obesity-related gut microbiota holds promise as a novel therapeutic strategy for obesity by targeting PIK3R1 and modulating the PI3K/Akt signaling pathway. Further experimental validation is necessary to confirm these findings.",2025,"['phosphoinositide - 3 - kinase regulatory subunit 1', 'pik3r1', 'phosphoinositide 3 - kinase', 'pi3k', 'protein kinase b', 'a', '##kt', 'insulin', 'ppi', 'pik3r1', 'pik3r1', 'pi3k', 'akt']","['pik3r1', 'phosphoinositide 3 kinase', 'pi3k', 'protein kinase b', 'insulin', 'ppi', 'akt']"
Nanomaterials for the treatment and monitoring of obesity: Targeting adipose tissue macrophages.,"Obesity represents a growing global health crisis, closely associated with chronic low-grade inflammation driven by the recruitment and polarization of adipose tissue macrophages (ATMs). Targeting ATMs to suppress adipose inflammation has emerged as a promising strategy for obesity treatment. However, conventional anti-inflammatory therapies are hindered by poor tissue specificity and systemic side effects. In recent years, advances in nanotechnology have enabled the development of multifunctional nanomaterials capable of modulating ATM behavior with improved precision and efficacy. This review presents the first comprehensive synthesis of multimodal nano-based strategies for targeting ATMs in obesity, integrating both therapeutic and monitoring applications. We begin by elucidating the immunological roles of ATMs in the pathogenesis of obesity and associated metabolic disorders. We then outline rational design principles for ATM-targeted nanomaterials, followed by an in-depth analysis of representative organic and inorganic nanomedicines, including emerging platforms such as gene-editing systems and combination nanotherapies. Furthermore, we summarize recent developments in nano-enabled imaging strategies for non-invasive monitoring of adipose tissue inflammation. Finally, we critically discuss the key challenges-such as off-target effects and translational barriers-and propose future research directions. By bridging advances in nanomedicine and immunometabolism, this review fills a significant gap in the literature and provides a forward-looking perspective for the clinical translation of ATM-targeted nanotherapies in obesity management. STATEMENT OF SIGNIFICANCE: Obesity is a major global health burden, strongly linked to chronic low-grade inflammation mediated by adipose tissue macrophages (ATMs). While ATMs represent a promising immunotherapeutic target, effective strategies for their precise modulation remain limited. Recent advances in nanotechnology have opened new avenues for selectively targeting ATMs. However, there is a lack of comprehensive reviews integrating nanomedicine with ATM biology in the context of obesity. This review fills that critical gap by systematically summarizing design strategies for ATM-targeted nanomaterials, evaluating their therapeutic and monitoring applications, and outlining current challenges and future directions. By bridging nano-immunotherapy and metabolic disease, this work provides timely insights to guide innovation in obesity treatment and monitoring.",2025,[],[]
Reflection of therapy progress in virtual reality for individuals affected by obesity: a pilot study.,"<h4>Purpose</h4>Obesity is a major health challenge, requiring the development of more effective interventions. Setting realistic goals and developing detailed plans that anticipate potential challenges can be helpful strategies for bridging the intention-behavior gap. Immersive technologies, such as virtual reality (VR), are considered to further support closing this gap by reducing the distance to one's future self.<h4>Methods</h4>This study investigates a novel VR-supported reflection exercise as an additional treatment module within a conservative obesity treatment regime. It examines its feasibility, acceptance and short- and medium-term effects on participants' therapy motivation, body dissatisfaction, self-esteem, depressive symptoms, and eating behavior. 23 participants (BMI: M = 43.44 kg/m<sup>2</sup>, SD = 4.42) were presented with a real-time animated body avatar that had the average body shape for their individual height, initial weight, and realistic target weight (- 10%), and standard appearance matched in terms of hair and skin color. The avatar could be viewed from first-person and mirror perspectives. The exercise included reflective questions about their experience, well-being, daily life, and eating and movement behavior.<h4>Results</h4>Participation and dropout rates of the VR-supported reflection exercise, user experience ratings, assessments on general discomfort and qualitative feedback demonstrated good feasibility and acceptance of the VR exercise. There were no measurable effects of a single session on clinical outcomes, including motivation to change, eating disorder psychopathology, self-esteem and depressive symptoms.<h4>Conclusions</h4>The VR-based reflection exercise was feasible and well-accepted. The sample was highly burdened with multimorbidity, severe obesity (grade III), and psychological stress. A clinical trial with sufficient dosage would be required to infer about clinical effects.<h4>Level of evidence</h4>Level 4.",2025,[],[]
Correction: Therapeutic target analysis and molecular mechanism of melatonin-treated leptin resistance induced obesity: a systematic study of network pharmacology.,[This corrects the article DOI: 10.3389/fendo.2022.927576.].,2025,[],[]
Exploring the anti-obesity potential of Ailanthus excelsa Roxb in vitro enzymatic inhibition and computational pharmacology insights.,"This study explores the potential of Ailanthus excelsa Roxb. for managing obesity by evaluating its effects on key metabolic enzymes. We evaluated a hydroalcoholic extract and its fractions for their ability to modulate important metabolic enzymes, porcine pancreatic lipase, HMG-CoA reductase, α-glucosidase, and α-amylase activities. Our methodology integrated in vitro enzymatic assays with cluster analysis (MCODE, ClueGO, and Cluepedia) and network pharmacology to elucidate interactions between metabolites and target enzymes. Protein-protein interaction (PPI) analysis, consisting of a network with 51 nodes and 264 edges, was performed using the CytoNCA plugin to calculate topological parameters. Key targets were identified based on degree centrality, including ADIPOQ, PPARA, PPARG, IL6, TNF, and AKT1. Cluster analysis of the PPI networks, conducted using the MCODE plugin, highlighted a top cluster with a high score of 22.82. Network pharmacology has identified key targets associated with obesity, including HK1, HK2, PIK3CA, AKT1, MTOR, CD36, ACACB, SLC2A4, CPTIA, INSR, ACACA, FASN, and ADIPOQ. These targets are linked to highly modulated metabolic pathways. Isoquercetin shows significant binding affinities: - 7.11 for HMG-CoA Reductase (PDB ID: 1HW9), -9.96 for lipase (PDB ID: 1LPB), - 8.96 for α-amylase, and - 10.41 for α-Glucosidase (PDB ID: 3A47). The ethyl acetate fractions exhibit notable inhibition of Porcine Pancreatic lipase (IC<sub>50</sub>: 56.25 ± 4.85 µg/mL) and HMG-CoA reductase (IC<sub>50</sub>: 108.27 ± 3.38 µg/mL), α-glucosidase (IC<sub>50</sub>: 117.08 ± 3.28 µg/mL), and α-amylase (IC<sub>50</sub>: 125.93 ± 2.29 µg/mL). Moreover, metabolites showed stronger binding affinities to all four enzymes than reference molecules. By integrating in vitro assays with molecular modeling, this study highlights the promising potential of A. excelsa and its fractions in obesity management, offering valuable insights into its therapeutic applications.",2025,"['porcine pancreatic lipase', 'hmg - coa reductase', 'α - glucosidase', 'α - amylase', 'ppara', 'pparg', 'il6', 'tnf', 'akt1', 'hk1', 'hk2', 'pik3ca', 'akt1', 'mtor', 'cd36', 'acacb', 'slc2a4', 'cptia', 'insr', 'acaca', 'fasn', 'isoquercetin', 'hmg - coa reductase', 'pdb id :', '1hw9', 'lipase', 'pdb id :', '1lpb', 'α - amylase', 'α - glucosidase', 'pdb id : 3a47', 'porcine pancreatic lipase', 'hmg - coa reductase', 'α - glucosidase', 'i', 'α - amylase']","['hmg coa reductase', 'ppara', 'pparg', 'il6', 'tnf', 'akt1', 'hk1', 'hk2', 'pik3ca', 'mtor', 'cd36', 'acacb', 'slc2a4', 'insr', 'acaca', 'fasn', 'isoquercetin', 'lipase']"
"In Silico exploration of Karanjin for anti-obesity potential through ADMET profiling, network pharmacology, molecular docking, and molecular dynamics simulations.","Obesity is a growing public health concern, particularly in Malaysia, where prevalence rates continue to rise. Despite the availability of pharmacological interventions, existing anti-obesity drugs are often limited by modest efficacy and undesirable side effects. Natural compounds have emerged as promising alternatives, offering multi-target therapeutic potential with improved safety profiles. Karanjin, a furanoflavonoid isolated from Pongamia pinnata, has demonstrated anti-inflammatory and antioxidant activities, but its role in obesity management remains largely unexplored. In this study, an integrated in silico method was employed to explore the anti-obesity potential of Karanjin. Pharmacokinetic profiling indicated favourable absorption, distribution, and toxicity profiles. Network pharmacology analysis identified 145 overlapping targets between Karanjin and obesity-related genes, with enriched significant pathways such as AGE-RAGE signalling, which is implicated in oxidative stress and metabolic dysregulation. Molecular docking against eight hub proteins revealed strong binding affinities, with Karanjin exhibiting superior binding energies compared to reference anti-obesity drugs. Notably, the PIK3CA-Karanjin complex demonstrated the most favourable interaction profile. Confirmed molecular dynamics simulations results in a stable structure of the PIK3CA-Karanjin complex in a span of 100 ns, supported by root mean square deviation (RMSD), radius of gyration (Rg), root mean square fluctuation (RMSF), and solvent accessible surface area (SASA) analyses. Binding free energy calculations using the molecular mechanics Poisson-Boltzmann surface area (MMPBSA) method further validated the thermodynamic favourability of the interaction. Collectively, the findings provide a strong computational foundation supporting the potential of Karanjin as a multi-target candidate for obesity management, warranting further experimental validation.",2025,"['pik3ca', 'karanjin', 'pik3ca', 'karan']","['pik3ca', 'karanjin']"
Association of a high-protein and low-glycemic-index diet during pregnancy with offspring growth and obesity until the age of 18 years - a target trial emulation.,"<h4>Background</h4>Maternal pre-pregnancy BMI and excessive gestational weight gain (GWG) are associated with offspring obesity. Moreover, maternal dietary patterns, particularly protein intake and glycemic index, influence GWG and fetal development. This study aimed to investigate the association of a high-protein, low-glycemic-index (HPLGI) diet during pregnancy with offspring growth and obesity.<h4>Methods</h4>Using observational data from the Danish National Birth Cohort, a target trial emulation was conducted to investigate the association of an HPLGI diet during pregnancy on offspring growth up to 18 years of age. A cohort of 17,551 women who met the inclusion criteria was categorized into exposure groups based on their protein intake and glycemic index to emulate the groups in the APPROACH trial.<h4>Results</h4>Maternal characteristics varied between the exposure groups, with the HPLGI women exhibiting 1.67 kg higher pre-pregnancy weight and 0.49 kg/m<sup>2</sup> BMI, with no differences in GWG. Offspring outcomes were assessed at various ages, and a linear mixed model was used, including potential confounders. Offspring born to women following an HPLGI diet during pregnancy had 2.59 kg higher body weight and 0.72 kg/m<sup>2</sup> higher BMI at 18 years compared to those from the moderate-protein, moderate-glycemic-index (MPMGI) group.<h4>Conclusion</h4>An HPLGI diet during pregnancy was associated with higher offspring body weight and BMI at 18 years of age compared to an MPMGI diet. These findings suggest that maternal dietary composition during pregnancy may have long-term implications for offspring growth and obesity risk, underscoring the importance of evaluating dietary recommendations during pregnancy.",2025,[],[]
Rewiring β&lt;sub&gt;2&lt;/sub&gt;-adrenergic receptor signaling: harnessing non-canonical GRK functions to treat metabolic diseases.,,2025,[],[]
